category,tag,username,tweetText,postTimeRaw,scrapeTime,year,month,day
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@somuensojai,ความภาคภูมิใจ!ของชีวิตนี้ตอนนี้ฮิ๋งงง เดะๆว่างๆทำเธรดรีวิววววนะคับ สำหรับเด็ก69มีอาไยถามได้เบย!!! เย้ #ธรรมศาสตร์ช้างเผือก #dek68,2025-05-06 07:54:17,2025-05-12 02:01:13,2025,5,6
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@DEXCEM212,หาเพื่อนคั้บสาขานี้มีมั้ย #dek68 #มธ #ธรรมศาสตร์ช้างเผือก,2025-05-02 13:49:46,2025-05-12 02:01:13,2025,5,2
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@jaeminjenfffy,Finally ติดมธแล้วนะคะ #ธรรมศาสตร์ช้างเผือก #dek68 #ทีมมธ,2025-05-02 02:40:31,2025-05-12 02:01:13,2025,5,2
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@mankheuthe,ยินดีกับน้องๆที่ติดช้างเผือกทุกคนเลย #ธรรมศาสตร์ช้างเผือก,2025-05-01 16:33:41,2025-05-12 02:01:13,2025,5,1
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@green_thai04,I got it  #ธรรมศาสตร์ช้างเผือก #dek68 #TU91,2025-05-01 11:48:04,2025-05-12 02:01:13,2025,5,1
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@tatty07_5,"ยังจำความรู้สึกตอนยื่น สัมภาษณ์ เยี่ยมบ้านตอนร้องไห้เพราะกลัวคงามผิดหวังหรือเพราะดีใจไปเยอะมากๆวันนี้ทำสำเร็จแล้วตั้งตัวไม่ถูกเลย แต่สัญญากับทุกคนที่ภูมิใจในตัวเราไว้ว่าจะทำให้ดีที่สุด

#dek68 #ธรรมศาสตร์ช้างเผือก",2025-05-01 10:06:24,2025-05-12 02:01:13,2025,5,1
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@Sundayyyyyy18,ภาคใต้มีใครโดนเยี่ยมบ้านแล้วบ้างคะ #ธรรมศาสตร์ช้างเผือก,2025-04-26 19:28:42,2025-05-12 02:01:13,2025,4,26
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@102yhnml,วิศวะ ยังไม่โดนเยี่ยมบ้าน นี่ทำใจได้เลยใช่มั้ยครับ #ธรรมศาสตร์ช้างเผือก,2025-04-26 19:02:57,2025-05-12 02:01:13,2025,4,26
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@MasterJang4856,ทุกคนคิดว่าไม่โดนเยี่ยมแต่มีสิทธิ์ติดนี่จริงมั้ย หรือใครมีรุ่นพี่ที่ไม่โดนเยี่ยมแต่ติดบ้าง #ธรรมศาสตร์ช้างเผือก,2025-04-15 13:26:05,2025-05-12 02:01:13,2025,4,15
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@mellow3to3,วิศวะโยธามีใครโดนเยี่ยมบ้านยังคะ #ธรรมศาสตร์ช้างเผือก,2025-04-10 01:49:27,2025-05-12 02:01:34,2025,4,10
ธรรมศาสตร์,#ธรรมศาสตร์ช้างเผือก,@20_4_2020,รัฐศาสตร์มีใครโดนเยี่ยมบ้านยังคะ #ธรรมศาสตร์ช้างเผือก,2025-03-25 06:03:07,2025-05-12 02:01:34,2025,3,25
ธรรมศาสตร์,#TCAS,@jacazry,สนใจทักมาเลยค่าาา #dek68 #dek69 #dek70 #tcas68 #tcas67 #tcas #หนังสืออาจารย์ขลุ่ย #tgat,2025-05-11 15:18:08,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@taehtaehhh,คือเราอยากทราบว่า เรายื่นครั้งเเรกไป10อันดับ เเล้วอยากจะเปลี่ยน1คณะ ถ้าเรากดเเก้ไขวิชาที่สมัครเราต้องเสียเงินอีก300ไหมคะ เเล้วก็หัวใจเซทนี้คือคนละเซทกับที่จะกดตอนประมวลผลรอบ2ไหมคะ  #dek68 #tcas,2025-05-11 15:10:52,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@babobanie,"โปรโมชั่นพิเศษต้อนรับเปิดเทอม

ลงคอร์ส 20 ชั่วโมง 
ลดเหลือ 3500 บาท

ถึง 31 พฤษภาคมนี้เท่านั้น

#ภาษาจีน #สอนภาษาจีน #patจีน #hsk #แพทจีน #Chinese #สอนพิเศษภาษาจีน #HSK1 #alevelจีน #เรียนภาษาจีน #เรียนจีน #HSK4 #hsk2 #hsk3 #dek69 #TCAS #TCAS68 #TCAS69 #สอนพิเศษ",2025-05-11 15:04:42,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@ahcin_mii,ติดแน่ๆมั้ยคะ พอดีอยากเข้าพระจอมม้ากกก #dek68 #TCAs #เด็ก68,2025-05-11 14:25:16,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@hipstect,"Portfolio by N‘MIMIE
สอบติด ID คณะสถาปัตยกรรมศาสตร์ จุฬาฯ

ART & DESIGN STUDIO
— Studio at Samyan (MRT สามย่าน)
• DRAWING 
• ติวสอบเข้าคณะสถาปัตยกรรมศาสตร์
• PORTFOLIO 
Line - @hipstect

#tpat4 #dek68 #dek69 #dek70 #tcas #รับติวสถาปัตย์ #สถาปัตย์จุฬา #สถาปัตยกรรมศาสตร์",2025-05-11 12:20:38,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@JunPapol,ทุกการตัดสินใจล้วนมีโอกาสเสมอ ไม่ว่าจะ safe หรือ เสี่ยง พี่เชื่อว่าทุกคนต้องมีโอกาสสักที่ตามที่ปรารถนา #dek68 #tcas #เข้ามหาลัย,2025-05-11 11:57:35,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@studydiary_png,4000 คร้าบ #ขายคอร์สเรียนพิเศษ #ส่งต่อคอร์สเรียนพิเศษ #dek68 #dek69 #ondemand #กสพท67 #TCAs,2025-05-11 11:38:17,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@IELTS_with_me,"#IELTS speaking

#ติวielts #สอบielts #ติวไอเอล #ติวเตอร์ภาษาอังกฤษ #ติวอังกฤษ #ติวsat #สอบged #toeic #TUGET #CUTEP #ALEVEL #TGAT #TCAS #TCAS68 #dek69 #dek70 #เด็กซิ่ว",2025-05-11 10:33:57,2025-05-12 02:01:22,2025,5,11
ธรรมศาสตร์,#TCAS,@shupn_dropfile,"จะเปิดเทอมแล้ว พร้อมเจอมรสุมกันรึยัง
 การบ้านก็ต้องทำ หนังสือก็ต้องอ่าน แบ่งเวลายังไงก่อน

อ่านต่อในเม้น

[Post by พี่หมา]

#tcas #tcas69 #dek68 #dek69 #สอบเข้ามหาลัย",2025-05-11 10:26:59,2025-05-12 02:01:38,2025,5,11
ธรรมศาสตร์,#รับตรง,@wetalkinter,"รีวิว ยินดีกับน้องๆทุกคนติด #รับตรง #bsitu #ทีมธรรมศาสตร์ ค่า
น้องๆ #dek68 #tcas68 #เด็กซิ่ว สนใจเรียนติดต่อไลน์ @xvn8161a (มี@)

สอนเนื้อหาที่ได้ใช้สอบจริงและครอบคลุม
สอนทำtemplatesการตอบไว้ทุกแบบและประยุกต์ได้จริง
สอนปรับการเขียนตามพื้นฐานผู้เรียน
ดูแลจนถึงวันสอบ",2025-05-11 10:04:38,2025-05-12 02:01:33,2025,5,11
ธรรมศาสตร์,#ทีมมธ,@studywteacherB,มปลายรับอีกแค่2-3คิวเท่านั้นนะคะ สนใจทักมาเลย #หาติวเตอร์ #แคล #สอนพิเศษคณิต #สอนพิเศษ #ติวคณิต #ติวฟิสิกส์ #ติวเตอร์ #เรียนพิเศษ #ทีมมธ #ทีมจุฬา #สอนคณิต #สอนแคล #kmitt #เรียนต่อจีน #แคลคูลัส #สอนพิเศษ #สอนพิเศษออนไลน์ #siit #muic #ทีมมหิดล #sat แคล หาคนสอน ma216 ma111 #bbacu,2025-05-11 18:34:08,2025-05-12 02:02:11,2025,5,11
ธรรมศาสตร์,#ทีมมธ,@Gsijsj4,"เค้ารับทำ จิตอาสา กยศ. งับ
งานเสร็จค่อยโอน
วันเดียวเสร็จ/แบ่งทำ ไม่มีบวกเพิ่ม
ชม.ละ5บาททุกหลักสูตร

#จิตอาสาออนไลน์ #จิตอาสากยศ #ทีมมก #กยศ #ทีมมช  #มทส #ทีมมมส #ทีมบูรพา  #ทีมมศว #setelearning #ทีมมพ #ทีมแม่โจ้ #dek69 #สวนสุนันทา #ทีมมน #ทีมมธ #ทีมมฟล  #รับทำการบ้าน",2025-05-11 16:39:42,2025-05-12 02:02:11,2025,5,11
ธรรมศาสตร์,#ทีมมธ,@rosyx__,"คิวดูดวงว่างนะคะ ✶ 
ประสบการณ์ 3ปี / รีวิวแน่น / ได้คำตอบใน 5 นาที

 Yes/no
1คำถาม 6฿ | 3คำถาม 15฿

 คำถาม 
1คำถาม 15฿ | 3คำถาม 30฿

 โทร 
10นาที 79฿ | 20 นาที 119฿

ทักไลน์ตอบไวงับ >>>  http://lin.ee/bEqiCYy

#ดูดวง #ทีมมธ",2025-05-11 16:18:15,2025-05-12 02:02:11,2025,5,11
ธรรมศาสตร์,#ทีมมธ,@No05149699,มีใครขายสรุปไฟนอล las202 ไหมคะ หรือรับติวก็ได้ค่ะ ราคาคุยกันได้ค่ะ #ทีมมธ #มธ #las202 #เสรีมธ #วิชามธ,2025-05-11 15:21:33,2025-05-12 02:02:11,2025,5,11
ธรรมศาสตร์,#ทีมมธ,@moremar03,#หาเมทมธ #หอนอกมธ #หอพักมธ #หอพักนักศึกษา #หาหอมธ #ธรรมศาสตร์ #ทีมมธ #นิติมธ,2025-05-11 12:34:22,2025-05-12 02:02:11,2025,5,11
ธรรมศาสตร์,#มธ,@ingo642244,"ความรักไม่ใช่ว่าเจอกันแล้วจบ
ความรักไม่ใช่ผลลัพธ์แต่คือ กระบวนการเรียนรู้ไปด้วยกัน

รู้ว่าหายาก #fwb แต่ถ้าเจอจะรักษาอย่างดีเลย ขอคนการศึกษาดี และสะอาดนะครับ คนเดียวประจำ #fwbรังสิต #fwbนนทบุรี #จุฬา #รังสิตภิรมย์ #มธ #onsกทม 
#Skinshipกทม #fwbกทม #หาคนคุย #เงี่ยน #เกษตร",2025-05-11 18:18:36,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@468Shackky,"เงินด่วน นศ. หาคน #ปล่อยกู้
หาค่าเทอม ค่าหอ ค่าใช้จ่าย

ยอด 9,000-20,000
-ไม่มีโอนก่อน
-ผ่อนรายเดือน

Line; http://lin.ee/T8DSIgt

#เงินกู้นักศึกษา #เงินกู้ #กู้เงิน #กู้เงินนักศึกษา #เงินกู้รายเดือน #มอนอ #มอรังสิต #มก #มข #มจพ #มอหัวเฉียว #บูรพา #สจล #มพ #มออุบล #มอ #มธ",2025-05-11 16:27:25,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@Dxnnyyxewjj,"ปล่อยต่อมือสอง เสื้อแลปมธ เข็มขัด กระดุม 
180 ฿ #มธ #ส่งต่อมือสอง",2025-05-11 16:07:06,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@No05149699,มีใครขายสรุปไฟนอล las202 ไหมคะ หรือรับติวก็ได้ค่ะ ราคาคุยกันได้ค่ะ #ทีมมธ #มธ #las202 #เสรีมธ #วิชามธ,2025-05-11 15:21:33,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@dynamite2255,"หานัด ญ เดี่ยว ครับ เหงา
ผมชายเดี่ยวอยากหาช่วยคู่มีค่าขนมให้งับ
เน้นสะอาด ขอคนนัดจริง หรือให้ไปนั่งชมก้ได้
#คลองหก #fwbรังสิต #หาเสี่ยเลี้ยง #หาคนดูแล #นครนายก #คลอง6 #รังสิต  #เรียลนักศึกษา #สวิงกิ้ง #ชายเดี่ยว #ช่วยคู่ #วิหารแดง #มธ #สระบุรี #รังสิตภิรมย์ #มศวองครักษ์ #รังสิต",2025-05-11 13:08:03,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@moominniniin,หาเมทไม่ค่อยอยู่ห้อง เอาห้องไว้ฝากของ บังหน้าพ่อแม่ กลับห้องมานอนได้ คุยกันได้อีกที ไม่ต้องจ่ายค่าน้ำค่าไฟคับเรามีห้องแล้ว 18-22 #หาเมทมธ #หอนอกมธ #หาหอมธ #หอมธ #มธ,2025-05-11 11:21:54,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@summersunnysoon,"ตัดต่อรูปติดบัตร 99 บาท 
แก้สีพื้นหลัง/ปรับไฟล์ /แก้รูป 20 บาท

พร้อมตัด สมัครงาน /มอบตัว

แก้หน้าเบี้ยว คอเอียง ปรับสีผิว โทนผิว ลบรอย แต่งหน้า +ทรงผมเลือกได้

อัปเดตทุกขั้นตอน ปรับแก้ได้ตลอด 
#ตัดต่อรูป #รูปติดบัตร #รูปนักศึกษา #รูปสมัครงาน #รีทัชรูป #tcas68 #dek68 #มธ",2025-05-11 10:58:21,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@koookg69,หาผชมาสวิง คาชุดนศ สาวสองหน้าตาโอเค #รังสิต #รังสิตภิรมย์ #มธ #bu #คลองหลวง #นวนคร,2025-05-11 09:41:01,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@winissocute1,มีนศพ.ปี1คนไหนพักที่cosy cozyบ้างมั้ยคะะ เค้าหาเพื่อนค่ะ พี่ๆที่พักอยู่ก็ได้นะคะะ อยากเมคเฟรนด้วยค่ะ #หอนอกมธ #หอพักมธ #หอมธ #หอพักย่านรังสิต #มธ #ธรรมศาสตร์,2025-05-11 09:09:20,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#มธ,@detectivekatia,"ในคลาสของเราจะมีเวิร์คชอปหนังสือทำมือด้วยนะ ♡

#เรียนฟรี #สตรีศึกษา #เควียร์ #LGBTQ #สตรีนิยม #Feminism #summerschool  #มธ",2025-05-11 08:59:02,2025-05-12 02:02:26,2025,5,11
ธรรมศาสตร์,#dek70,@forwardqqq,"หนังสือ upskill คณิตศาสตร์ประยุกต์ 1 Alevel ออนดีมานด์

♡400 รวมส่ง
♡dm ขอดูเพิ่มเติมได้

#dek68 #หนังสือสอบ #ขายหนังสือมือสอง #ขายหนังสือ #หนังสือสอบมือสอง #เด็กซิ่ว #หนังสือมือสองราคาถูก #หนังสือมือ2 #dek69 #dek70",2025-05-11 18:43:14,2025-05-12 02:02:40,2025,5,11
